,rmse,mape
0,0.13071301069752753,0.0239406754503113
1,0.8782894849997522,0.0371526905578389
2,0.0810734420461785,0.013015003581084242
3,0.04361068863751367,0.055479951152595706
4,0.08330137092239873,0.05597162008399257
5,0.45934442048711804,0.01632915816328327
6,0.7858556557399128,0.03615112856523734
7,0.2388279660508836,0.021691845909793422
8,0.22981051437699979,0.07185828095744322
9,0.46277612357897485,0.03411437454254521
10,0.5010169838948753,0.03043689093134003
11,0.3668811461220175,0.014118645835862623
12,0.20490602128161622,0.08868964167091137
13,0.06908653473048651,0.05137526813797471
14,0.29307386812877395,0.03424308357862823
15,0.5973772700864358,0.16131317854770852
16,0.4277818970801211,0.01317550659848598
17,0.2845611638872162,0.2581489991002701
18,0.24562952638288477,0.008091502169163435
19,0.4759014709719862,0.02313017798701732
20,0.4613734038685141,0.055382123931847556
21,0.025574829265562034,0.00412426313238565
22,1.1750923848674584,0.5833261117767579
23,0.45235752252463024,1.8796577301176176
24,0.3417674792878509,0.020206459435118587
25,0.9508121084896503,0.055184666249655574
26,0.11626330301756671,0.059223220835829836
27,0.0534459372658385,0.015868028895543982
28,0.7565588299953692,0.6991066139736541
29,0.6201961072401546,0.020402310556482686
30,0.20404398799118267,0.023033637855315207
31,0.47531289181040887,0.04346362276370408
32,0.8122898003597563,0.03797638784610924
33,0.21589874960002392,0.03906803946090056
34,0.034191277010264406,0.24553257756765656
35,0.8490467637578619,0.048169890360882865
36,0.611062151530116,0.0404902604034144
37,0.40514715155829145,0.11169764597798061
38,0.6160433914229599,0.048501575930191054
39,0.18693620733416322,0.022481229334311268
40,0.19330139163118348,0.006635928449533024
41,0.8374656721871266,0.03425438547441766
42,0.12257456451323989,0.04729275262285945
43,0.9135106341013065,0.04559482635464423
44,0.3167864752302223,0.010271503599097022
45,0.5978625926683128,0.02049202754332439
46,0.08771544292362174,0.017831453837141655
47,0.9696448904142577,0.0773582916253963
48,0.4461978933008284,0.017740385522056184
49,0.23638350438420563,0.35355122739311234
50,0.24425833149489537,0.014534632775338431
51,1.9256044742006226,0.5807598626061546
52,0.0,0.0
53,0.603657940352548,0.02194551441166892
54,0.16073744068989282,0.051660672063426005
55,0.3699916524078381,0.011318031627132784
56,0.8473768833292481,0.029288742583845437
57,0.317110941421644,0.023265849196487595
58,0.9987584155091557,0.0511447150103298
59,0.18727483933190703,0.005940936663769182
60,0.45511888584644633,0.013823273218315127
61,0.19242441886113035,0.023336587207517506
62,0.36623471184896345,0.011659887293546577
63,0.43533034316854863,0.024172358907625924
64,0.6302372487045882,0.03849615668360357
65,0.11878177889985941,0.030910464436392133
66,0.5003436696571059,0.04401577354281766
67,0.14432885879317991,0.1039271723799941
68,0.48478789003887746,0.01532519746548172
69,1.2736255897410742,1.2830299497728237
70,0.33872063701049687,0.010529734725807365
71,0.1870557162347389,0.2025007011797302
72,0.5989891300112548,0.0891581728967329
73,0.6954881828405179,0.27629820833611496
74,0.1252449534566192,0.003302124267532696
75,1.1917706775953933,0.04468312101733205
76,0.36941216936046395,0.03411414774346961
77,0.5911884895921091,0.21156545030925858
78,0.6770775536692805,0.019606372828964415
79,0.5951478314677243,0.02104450238990238
80,1.4814913719216336,0.16198084933453852
81,0.49018744770283135,0.033984831177178876
82,0.12093706044915824,0.0033701871523897334
83,0.4866182478545051,0.025228622709169018
84,0.9733410153108979,0.03637580244098775
85,0.24694391933053475,0.2566141325922215
86,0.8357808874916546,0.03164265669299636
87,0.6275110245315043,0.025611074110510987
88,0.21078459901681992,0.018957862521096887
89,0.6634755455749496,0.03794679604990026
90,0.39005381415398865,0.23665286615612824
91,0.0,0.0
92,0.6942192719678298,0.030739370053598617
93,0.16293393607138132,0.03311501541563569
94,0.6462660846107543,0.02544881373274442
95,0.0826202478186193,0.08708005987647016
96,0.33864569156444785,0.011532845942830662
97,0.3485383697031938,0.01039175594818142
98,1.0222295456283064,0.045906300965395073
99,0.21563372088258417,0.005977273340356116
